epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,214.549,0.92775,1.50509,1.31186,0.84845,0.80999,0.90059,0.48989,1.519,1.36124,1.6059,0.000662309,0.000662309,0.000662309
2,426.124,1.02431,0.97447,1.33065,0.48209,0.57872,0.526,0.21208,1.78297,1.81986,1.89269,0.00126319,0.00126319,0.00126319
3,645.143,0.99403,0.90293,1.29951,0.8023,0.79436,0.80897,0.36686,1.89693,1.34646,2.12186,0.00179807,0.00179807,0.00179807
4,898.396,0.97952,0.86132,1.29373,0.81071,0.82979,0.8562,0.42836,1.58629,1.10347,1.62791,0.001703,0.001703,0.001703
5,1155.73,0.9427,0.82709,1.26673,0.8751,0.83404,0.89618,0.46505,1.56664,0.9917,1.64357,0.001604,0.001604,0.001604
6,1406.02,0.89273,0.77179,1.24309,0.84663,0.86383,0.90385,0.50582,1.51819,0.92282,1.57633,0.001505,0.001505,0.001505
7,1664.22,0.85819,0.74341,1.2296,0.88626,0.91064,0.92386,0.52292,1.50327,0.88495,1.53984,0.001406,0.001406,0.001406
8,1930.83,0.83962,0.73137,1.21409,0.90683,0.91121,0.93872,0.5273,1.50369,0.76686,1.51175,0.001307,0.001307,0.001307
9,2158.01,0.8164,0.71581,1.20302,0.86694,0.85951,0.93702,0.56588,1.2535,0.84235,1.35336,0.001208,0.001208,0.001208
10,2372.36,0.80005,0.69214,1.19496,0.88419,0.88511,0.90188,0.47256,1.64028,0.87385,1.65555,0.001109,0.001109,0.001109
11,2615.97,0.74137,0.52093,1.2663,0.85353,0.90638,0.90768,0.55275,1.27532,0.84603,1.382,0.00101,0.00101,0.00101
12,2867.46,0.73823,0.46814,1.25244,0.90099,0.91489,0.93196,0.55001,1.42099,0.75923,1.49332,0.000911,0.000911,0.000911
13,3127.68,0.68052,0.42357,1.20739,0.86904,0.90213,0.92443,0.53689,1.44378,0.77434,1.52592,0.000812,0.000812,0.000812
14,3387.17,0.66422,0.3979,1.20899,0.93679,0.89362,0.947,0.58735,1.3182,0.65622,1.41182,0.000713,0.000713,0.000713
15,3644.63,0.62972,0.36955,1.18286,0.94843,0.9392,0.97142,0.63829,1.22141,0.59797,1.30658,0.000614,0.000614,0.000614
16,3902.06,0.61646,0.3583,1.16413,0.94328,0.91993,0.96049,0.61836,1.26746,0.64336,1.39239,0.000515,0.000515,0.000515
17,4155.68,0.59218,0.34118,1.14526,0.96572,0.95912,0.97521,0.62358,1.31162,0.53564,1.36478,0.000416,0.000416,0.000416
18,4414.68,0.57016,0.32278,1.12877,0.95313,0.9518,0.97051,0.65091,1.21757,0.53962,1.30492,0.000317,0.000317,0.000317
19,4723.77,0.5451,0.31148,1.10965,0.94964,0.96283,0.97505,0.68643,1.08039,0.50651,1.22048,0.000218,0.000218,0.000218
20,5035.54,0.52555,0.29667,1.10616,0.94773,0.96596,0.9759,0.71198,0.98917,0.50471,1.16909,0.000119,0.000119,0.000119
